word	definition	pos	cefr	tags
antiguo	ancient	adj	A2.1	
apoyo	support	noun	A2.1	
área	area	noun	A2.1	
arresto	arrest	noun	A2.1	
belleza	beauty	noun	A2.1	
bolso	purse, bag	noun	A2.1	
búsqueda	search	noun	A2.1	
cabo	end, extremity	noun	A2.1	
camisa	shirt	noun	A2.1	
carga	burden	noun	A2.1	
Carlos	Charles	noun	A2.1	
carretera	road	noun	A2.1	
celebrar	to celebrate	verb	A2.1	
central	central	adj	A2.1	
cero	zero	num	A2.1	
chaqueta	jacket	noun	A2.1	
cien	one hundred	num	A2.1	
ciento	hundred	num	A2.1	
cirugía	surgery	noun	A2.1	
clave	key	noun	A2.1	
código	code	noun	A2.1	
comenzar	to begin	verb	A2.1	
compartir	to share	verb	A2.1	
compra	purchase	noun	A2.1	
comunidad	community	noun	A2.1	
condición	condition	noun	A2.1	
conexión	connection	noun	A2.1	
consigo	with oneself, with himself, herself	pron	A2.1	
contento	content, happy	adj	A2.1	
continuar	to continue	verb	A2.1	
correo	mail	noun	A2.1	
crédito	credit	noun	A2.1	
cruel	cruel	adj	A2.1	
Cruz	cross	noun	A2.1	
cuerda	sane	noun	A2.1	
cumplir	to turn (age)	verb	A2.1	
cura	cure	noun	A2.1	
curiosidad	curiosity	noun	A2.1	
declaración	declaration, statement	noun	A2.1	
descanso	rest	noun	A2.1	
destruir	to destroy	verb	A2.1	
detener	to stop	verb	A2.1	
directo	live	adj	A2.1	
discurso	speech	noun	A2.1	
distancia	distance	noun	A2.1	
doce	twelve	num	A2.1	
efectivo	effective	adj	A2.1	
enamorado	in love	adj	A2.1	
enfermera	nurse	noun	A2.1	
entrega	delivery	noun	A2.1	
entrenador	coach	noun	A2.1	
entrenamiento	training	noun	A2.1	
escenario	stage	noun	A2.1	
espejo	mirror	noun	A2.1	
esquina	corner	noun	A2.1	
Europa	Europe	noun	A2.1	
ex	former	adj	A2.1	
falso	FALSE	adj	A2.1	
familiar	family	adj	A2.1	
fiscal	prosecutor	noun	A2.1	
Francisco	Francis	noun	A2.1	
fuente	source	noun	A2.1	
funeral	funeral	noun	A2.1	
gato	cat	noun	A2.1	
genio	genius	noun	A2.1	
gira	tour	noun	A2.1	
gobernador	governor	noun	A2.1	
gracia	grace	noun	A2.1	
grado	degree	noun	A2.1	
honesto	honest	adj	A2.1	
imagen	image	noun	A2.1	
importancia	importance	noun	A2.1	
impresión	impression	noun	A2.1	
inmediato	immediate	adj	A2.1	
inútil	useless	adj	A2.1	
invitado	guest	noun	A2.1	
ira	anger	noun	A2.1	
irás	you will go	verb	A2.1	
jugador	player	noun	A2.1	
legal	legal	adj	A2.1	
licencia	license	noun	A2.1	
líder	leader	noun	A2.1	
límite	limit	noun	A2.1	
local	local	adj	A2.1	
marca	brand	noun	A2.1	
María	Mary	noun	A2.1	
material	material	noun	A2.1	
máximo	maximum	adj	A2.1	
mentir	to lie	verb	A2.1	
mentiroso	lying, dishonest	adj	A2.1	
mercado	market	noun	A2.1	
miembro	member	noun	A2.1	
millón	million	noun	A2.1	
moda	fashion	noun	A2.1	
modelo	model	noun	A2.1	
molesto	annoyed	adj	A2.1	
mundial	global, worldwide	adj	A2.1	
nacional	national	adj	A2.1	
natural	natural	adj	A2.1	
necesitar	to need	verb	A2.1	
negra	black	noun	A2.1	
nerviosa	nervous	adj	A2.1	
ocasión	occasion	noun	A2.1	
orgullo	pride	noun	A2.1	
orgulloso	proud	adj	A2.1	
paciencia	patience	noun	A2.1	
parecido	similar	adj	A2.1	
particular	particular	adj	A2.1	
pasillo	aisle, hallway	noun	A2.1	
pecado	sin	noun	A2.1	
pérdida	loss	noun	A2.1	
permitir	to allow	verb	A2.1	
peso	weight	noun	A2.1	
piloto	pilot	noun	A2.1	
podrás	you will be able to	verb	A2.1	
prensa	press	noun	A2.1	
presencia	presence	noun	A2.1	
presente	present	adj	A2.1	
proceso	process	noun	A2.1	
promesa	promise	noun	A2.1	
propiedad	property	noun	A2.1	
protección	protection	noun	A2.1	
puente	bridge	noun	A2.1	
riesgo	risk	noun	A2.1	
roja	red	noun	A2.1	
seria	serious	adj	A2.1	
sesión	session	noun	A2.1	
socio	partner	noun	A2.1	
solución	solution	noun	A2.1	
sombrero	hat	noun	A2.1	
suceder	to happen	verb	A2.1	
sujeto	subject	noun	A2.1	
tamaño	size	noun	A2.1	
tonta	silly, stupid	adj	A2.1	
tormenta	storm	noun	A2.1	
total	total	adj	A2.1	
tráfico	traffic	noun	A2.1	
tratado	treaty	noun	A2.1	
tribunal	court	noun	A2.1	
unidad	a unit	noun	A2.1	
uso	use	noun	A2.1	
valiente	brave	adj	A2.1	
varias	several	adj	A2.1	
varios	several	pron	A2.1	
veinte	twenty	num	A2.1	
velocidad	speed	noun	A2.1	
vendrá	he, she will come	verb	A2.1	
vendría	he, she would come	verb	A2.1	
venta	sale	noun	A2.1	
versión	version	noun	A2.1	
victoria	victory	noun	A2.1	
video	video	noun	A2.1	
virus	virus	noun	A2.1	
visión	vision	noun	A2.1	
votos	vows	noun	A2.1	
¡di!	say!	noun	A2.2	
¡haz!	do!	noun	A2.2	
¡pon!	put!	noun	A2.2	
¡sal!	go out!	noun	A2.2	
¡sé!	be!	noun	A2.2	
¡ten!	have, take!	noun	A2.2	
¡ve!	go!	noun	A2.2	
¡ven!	come!	noun	A2.2	
abogada	lawyer	noun	A2.2	
acento	accent	noun	A2.2	
actividad	activity	noun	A2.2	
activo	active	adj	A2.2	
actual	current	adj	A2.2	
actualmente	currently	adv	A2.2	
adecuado	appropriate	adj	A2.2	
adulto	adult	adj	A2.2	
agradecido	grateful	adj	A2.2	
alfombra	rug, carpet	noun	A2.2	
alianza	alliance	noun	A2.2	
alivio	relief	noun	A2.2	
americana	American	noun	A2.2	
Antonio	Anthony	noun	A2.2	
aparato	apparatus	noun	A2.2	
aparecer	to appear	verb	A2.2	
apellido	surname, last name	noun	A2.2	
asegurar	to secure	verb	A2.2	
atmósfera	atmosphere	noun	A2.2	
autopista	highway	noun	A2.2	
autor	author	noun	A2.2	
autorización	authorization	noun	A2.2	
avenida	avenue	noun	A2.2	
avergonzado	embarrassed	adj	A2.2	
ayudante	assistant	noun	A2.2	
azar	chance	noun	A2.2	
bailarina	dancer	noun	A2.2	
bañera	bathtub	noun	A2.2	
bendición	blessing	noun	A2.2	
beneficio	benefit	noun	A2.2	
bienes	goods, assets	noun	A2.2	
brindis	toast	noun	A2.2	
calcetines	socks	noun	A2.2	
calidad	quality	noun	A2.2	
camiseta	t-shirt	noun	A2.2	
campus	campus	noun	A2.2	
candidato	candidate	noun	A2.2	
cantante	singer	noun	A2.2	
capital	capital	noun	A2.2	
cartel	cartel	noun	A2.2	
causar	to cause	verb	A2.2	
cazar	to hunt	verb	A2.2	
celebración	celebration	noun	A2.2	
celos	jealousy	noun	A2.2	
celoso	jealous	adj	A2.2	
cercano	near	adj	A2.2	
ceremonia	ceremony	noun	A2.2	
cierre	closing	noun	A2.2	
cincuenta	fifty	num	A2.2	
cinturón	belt	noun	A2.2	
civilización	civilization	noun	A2.2	
collar	necklace	noun	A2.2	
columna	column	noun	A2.2	
comentario	comment	noun	A2.2	
comercio	trade	noun	A2.2	
comisión	commission	noun	A2.2	
cómplice	accomplice	adj	A2.2	
concurso	contest, game show	noun	A2.2	
condena	conviction, sentence	noun	A2.2	
condenado	convicted	adj	A2.2	
conferencia	conference	noun	A2.2	
confesión	confession	noun	A2.2	
confundido	confused	adj	A2.2	
confusión	confusion	noun	A2.2	
congreso	congress	noun	A2.2	
conjunto	group, set	noun	A2.2	
conocida	acquaintance	noun	A2.2	
construcción	construction	noun	A2.2	
contenido	content	adj	A2.2	
convertir	to convert	verb	A2.2	
costumbre	custom	noun	A2.2	
crema	cream	noun	A2.2	
cuánta	how much	adj	A2.2	
cuarenta	forty	num	A2.2	
cubrir	to cover	verb	A2.2	
debate	debate	noun	A2.2	
decepcionado	disappointed	adj	A2.2	
delito	crime	noun	A2.2	
demanda	demand	noun	A2.2	
desafío	challenge	noun	A2.2	
despertar	se) (to wake up	verb	A2.2	
detalle	detail	noun	A2.2	
determinar	to determine	verb	A2.2	
deuda	debt	noun	A2.2	
devolver	to return	verb	A2.2	
dieta	diet	noun	A2.2	
dignidad	dignity	noun	A2.2	
dirán	they will say	verb	A2.2	
discusión	discussion	noun	A2.2	
diseño	design	noun	A2.2	
disponible	available	adj	A2.2	
disposición	tendency, layout	noun	A2.2	
dispositivo	device	adj	A2.2	
distinto	different	adj	A2.2	
economía	economy	noun	A2.2	
edición	edition	noun	A2.2	
ejecución	execution, enforcement	noun	A2.2	
ejercicio	exercise	noun	A2.2	
elecciones	elections	noun	A2.2	
emoción	emotion	noun	A2.2	
enfrente	opposite	adv	A2.2	
engañar	to deceive	verb	A2.2	
escolar	school	noun	A2.2	
escritor	writer	noun	A2.2	
establecer	to establish	verb	A2.2	
estacionamiento	parking	noun	A2.2	
estatal	state	adj	A2.2	
estrés	stress	noun	A2.2	
estructura	structure	noun	A2.2	
etapa	stage	noun	A2.2	
euros	euros	noun	A2.2	
evento	event	noun	A2.2	
excepción	exception, defense	noun	A2.2	
facultad	faculty	noun	A2.2	
fallo	ruling	noun	A2.2	
fantasía	fantasy	noun	A2.2	
fase	phase	noun	A2.2	
fea	ugly	adj	A2.2	
federal	federal	adj	A2.2	
físico	physical	adj	A2.2	
formación	training	noun	A2.2	
formar	to form	verb	A2.2	
fracaso	failure	noun	A2.2	
francesa	French - nationality	noun	A2.2	
furioso	furious	adj	A2.2	
gafas	glasses	noun	A2.2	
galaxia	galaxy	noun	A2.2	
gastar	to spend	verb	A2.2	
gastos	expenses	noun	A2.2	
generación	generation	noun	A2.2	
generoso	generous	adj	A2.2	
global	global	adj	A2.2	
graciosa	funny	adj	A2.2	
graduación	graduation	noun	A2.2	
grasa	fat	adj	A2.2	
guantes	gloves	noun	A2.2	
habilidades	skills	noun	A2.2	
harían	they would do	verb	A2.2	
herencia	inheritance	noun	A2.2	
honesta	honest	adj	A2.2	
huelga	strike	noun	A2.2	
identificar	to identify	verb	A2.2	
idioma	language	noun	A2.2	
impacto	impact	noun	A2.2	
impulso	impulse	noun	A2.2	
industria	industry	noun	A2.2	
informar	to inform	verb	A2.2	
inicio	start	noun	A2.2	
inmunidad	immunity	noun	A2.2	
invitación	invitation	noun	A2.2	
invitar	to invite	verb	A2.2	
José	Joseph	noun	A2.2	
Juan	John	noun	A2.2	
juramento	oath	noun	A2.2	
lealtad	loyalty	noun	A2.2	
lectura	reading	noun	A2.2	
lenguaje	language	noun	A2.2	
letra	lyrics	noun	A2.2	
leyenda	legend	noun	A2.2	
Luis	louis	noun	A2.2	
maquillaje	makeup	noun	A2.2	
marco	framework	noun	A2.2	
margen	margin	noun	A2.2	
masa	mass	noun	A2.2	
matrícula	enrollment, tuition	noun	A2.2	
médica	doctor	noun	A2.2	
medida	measurement	noun	A2.2	
mencionar	to mention	verb	A2.2	
mentirosa	liar	noun	A2.2	
Miguel	Michael	noun	A2.2	
mínimo	minimum	adj	A2.2	
ministerio	ministry	noun	A2.2	
moneda	currency	noun	A2.2	
objeto	object	noun	A2.2	
ocurrir	to occur	verb	A2.2	
ofrecer	to offer	verb	A2.2	
olvido	forgetfulness	noun	A2.2	
once	eleven	num	A2.2	
onda	wave	noun	A2.2	
oración	prayer	noun	A2.2	
origen	origin	noun	A2.2	
Pedro	Peter	noun	A2.2	
perfume	perfume	noun	A2.2	
periodista	journalist	noun	A2.2	
permitido	allowed	adj	A2.2	
piedad	piety	noun	A2.2	
plaza	square	noun	A2.2	
plazo	deadline, term	noun	A2.2	
poeta	poet	noun	A2.2	
posesión	possession	noun	A2.2	
positivo	positive	adj	A2.2	
práctica	practice	noun	A2.2	
preocupación	worry	noun	A2.2	
presidenta	president	noun	A2.2	
presupuesto	budget	noun	A2.2	
privacidad	privacy	noun	A2.2	
producción	production	noun	A2.2	
producto	product	noun	A2.2	
productor	producer	noun	A2.2	
prohibido	forbidden	adj	A2.2	
prometida	fiancé, fiancée	noun	A2.2	
propuesta	proposal	noun	A2.2	
protocolo	protocol	noun	A2.2	
psiquiatra	psychiatrist	noun	A2.2	
queja	complaint	noun	A2.2	
quince	fifteen	num	A2.2	
radar	radar	noun	A2.2	
radiación	radiation	noun	A2.2	
reciente	recent	adj	A2.2	
reconocer	to recognize	verb	A2.2	
reconocimiento	recognition	noun	A2.2	
recuperación	recovery	noun	A2.2	
región	region	noun	A2.2	
rehabilitación	rehabilitation	noun	A2.2	
relacionado	related	adj	A2.2	
representante	representative	noun	A2.2	
residencia	residence	noun	A2.2	
reto	challenge	noun	A2.2	
revolución	revolution	noun	A2.2	
ritual	ritual	adj	A2.2	
rutina	routine	noun	A2.2	
satélite	satellite	noun	A2.2	
satisfecho	satisfied	adj	A2.2	
secretaria	secretary	noun	A2.2	
sector	sector	noun	A2.2	
sello	stamp	noun	A2.2	
sensible	sensitive	adj	A2.2	
sentencia	sentence, verdict	noun	A2.2	
sentimiento	feeling	noun	A2.2	
signo	sign	noun	A2.2	
símbolo	symbol	noun	A2.2	
similar	similar	adj	A2.2	
sindicato	union	noun	A2.2	
solitario	solitary, lonely	adj	A2.2	
sorprendido	surprised	adj	A2.2	
superficie	surface right	noun	A2.2	
talla	size	noun	A2.2	
taller	workshop	noun	A2.2	
tejido	tissue	noun	A2.2	
tele	television, TV	noun	A2.2	
temperatura	temperature	noun	A2.2	
templo	temple	noun	A2.2	
temporal	seasonal	adj	A2.2	
terapia	therapy	noun	A2.2	
tercero	third party	noun	A2.2	
término	end	noun	A2.2	
territorio	territory	noun	A2.2	
testamento	will, testament	noun	A2.2	
testimonio	testimony	noun	A2.2	
toalla	towel	noun	A2.2	
tono	tone	noun	A2.2	
tortura	torture	noun	A2.2	
tradición	tradition	noun	A2.2	
traición	betrayal	noun	A2.2	
transmisión	broadcast	noun	A2.2	
trauma	trauma	noun	A2.2	
treinta	thirty	num	A2.2	
tristeza	sadness	noun	A2.2	
trozo	piece	noun	A2.2	
valores	securities, values	noun	A2.2	
web	web	noun	A2.2	
acceder	to access	verb	B1.1	
ácido	acid	noun	B1.1	
acompañar	to accompany	verb	B1.1	
acudir	to go	verb	B1.1	
administrador	administrator, director	noun	B1.1	
adopción	adoption	noun	B1.1	
afectado	affected	adj	B1.1	
aficionado	fan	noun	B1.1	
agregar	to add	verb	B1.1	
agresivo	aggressive	adj	B1.1	
alemana	German - nationality	adj	B1.1	
altar	altar	noun	B1.1	
amarilla	yellow	noun	B1.1	
añadir	to add	verb	B1.1	
ansiedad	anxiety	noun	B1.1	
ansioso	anxious	adj	B1.1	
anunciar	to announce	verb	B1.1	
apuntar	to point	verb	B1.1	
asilo	asylum	noun	B1.1	
aumentar	to increase	verb	B1.1	
bailarín	dancer	noun	B1.1	
bloque	bloc	noun	B1.1	
bonos	bonds	noun	B1.1	
buzón	mailbox	noun	B1.1	
catorce	fourteen	num	B1.1	
célula	cell	noun	B1.1	
cepillo	brush	noun	B1.1	
científica	scientist	noun	B1.1	
cobertura	coverage	noun	B1.1	
cocinera	cook	noun	B1.1	
competición	competition	noun	B1.1	
comunicado	statement	noun	B1.1	
concentración	concentration	noun	B1.1	
conclusiones	conclusions	noun	B1.1	
consecuencia	consequence	noun	B1.1	
consulta	consultation	noun	B1.1	
consumo	consumption	noun	B1.1	
contabilidad	accounting	noun	B1.1	
contener	to contain	verb	B1.1	
contexto	context	noun	B1.1	
convención	convention	noun	B1.1	
corporación	corporation	noun	B1.1	
costar	to cost	verb	B1.1	
costo	cost	noun	B1.1	
crecimiento	growth	noun	B1.1	
crítico	critic	adj	B1.1	
cruce	crossing, intersection	noun	B1.1	
crucero	cruise	noun	B1.1	
culto	cult, worship	noun	B1.1	
década	decade	noun	B1.1	
decano	dean	noun	B1.1	
decepción	disappointment	noun	B1.1	
declarar	to declare	verb	B1.1	
demora	delay	noun	B1.1	
deportivo	sports	adj	B1.1	
depresión	depression	noun	B1.1	
derrota	defeat	noun	B1.1	
desear	to want	verb	B1.1	
desesperación	desperation	noun	B1.1	
despido	dismissal; dismissal, firing	noun	B1.1	
detención	detention	noun	B1.1	
dirigido	directed, addressed, guided	adj	B1.1	
divino	divine	noun	B1.1	
domicilio	domicile	noun	B1.1	
eléctrico	electric	adj	B1.1	
enojar	to anger	verb	B1.1	
entrenar	to train	verb	B1.1	
envidia	envy	noun	B1.1	
escalar	to climb	verb	B1.1	
escáner	scanner	noun	B1.1	
española	Spanish - nationality	adj	B1.1	
específico	specific	adj	B1.1	
establecido	established	adj	B1.1	
estadio	stadium	noun	B1.1	
estreno	premiere	noun	B1.1	
etiqueta	label, tag	noun	B1.1	
existir	to exist	verb	B1.1	
expresar	to express	verb	B1.1	
factura	invoice, bill	noun	B1.1	
falda	skirt	noun	B1.1	
fallecido	deceased	adj	B1.1	
farsa	farce	noun	B1.1	
femenino	feminine	adj	B1.1	
financiero	financial	adj	B1.1	
finanzas	finance	noun	B1.1	
frutos	fruits, products	noun	B1.1	
fusión	merger	noun	B1.1	
gabinete	cabinet	noun	B1.1	
garantizar	to guarantee	verb	B1.1	
García	Garcia	noun	B1.1	
generosa	generous	adj	B1.1	
genética	genetics	noun	B1.1	
gratitud	gratitude	noun	B1.1	
hábito	habit	noun	B1.1	
heredero	heir	noun	B1.1	
herramienta	tool	noun	B1.1	
huracán	hurricane	noun	B1.1	
impaciente	impatient	adj	B1.1	
incorrecto	incorrect; wrong, incorrect	adj	B1.1	
independencia	independence	noun	B1.1	
individuo	individual	noun	B1.1	
industrial	industrial	adj	B1.1	
inglesa	English - nationality	adj	B1.1	
ingreso	income	noun	B1.1	
ingresos	income	noun	B1.1	
iniciar	to start, to begin	verb	B1.1	
iniciativa	initiative	noun	B1.1	
inmigración	immigration	noun	B1.1	
insecto	insect	noun	B1.1	
insensible	insensitive	adj	B1.1	
inspección	inspection	noun	B1.1	
instalación	installation	noun	B1.1	
institución	institution	noun	B1.1	
interno	internal	adj	B1.1	
intervención	intervention	noun	B1.1	
inventario	inventory	noun	B1.1	
invento	invention	noun	B1.1	
investigador	investigator	noun	B1.1	
inyección	injection	noun	B1.1	
ironía	irony	noun	B1.1	
italiana	Italian - nationality	adj	B1.1	
jabón	soap	noun	B1.1	
Jorge	George	noun	B1.1	
jurisdicción	jurisdiction	noun	B1.1	
kilo	kilogram	noun	B1.1	
kilómetro	kilometer	noun	B1.1	
labor	work	noun	B1.1	
laboral	labor	adj	B1.1	
legado	legacy	noun	B1.1	
lesión	injury	noun	B1.1	
Madrid	Madrid	noun	B1.1	
madura	mature	noun	B1.1	
maduro	mature	adj	B1.1	
maletero	trunk, boot	noun	B1.1	
mantenimiento	maintenance	noun	B1.1	
Manuel	Manual	noun	B1.1	
marcar	to dial	verb	B1.1	
masculino	masculine	adj	B1.1	
medicación	medication	noun	B1.1	
mejora	improvement, enhancement	noun	B1.1	
mito	myth	noun	B1.1	
norma	norm	noun	B1.1	
nudo	complication	noun	B1.1	
obligación	obligation	noun	B1.1	
ochenta	eighty	num	B1.1	
ocupar	to occupy	verb	B1.1	
oposición	opposition	noun	B1.1	
optimista	optimistic	adj	B1.1	
órbita	orbit	noun	B1.1	
orquesta	orchestra	noun	B1.1	
pacto	pact	noun	B1.1	
paraguas	umbrella	noun	B1.1	
paraolímpico	Paralympic	adj	B1.1	
parlamento	parliament	noun	B1.1	
participación	participation, share	noun	B1.1	
Pascua	Easter	noun	B1.1	
pausa	pause	noun	B1.1	
periodo	period	noun	B1.1	
previsto	planned, predicted	adj	B1.1	
promedio	average	noun	B1.1	
propaganda	propaganda	noun	B1.1	
provocar	to provoke, to cause	verb	B1.1	
publicado	published	adj	B1.1	
quiebra	bankruptcy	noun	B1.1	
radical	radical	adj	B1.1	
raíz	root	noun	B1.1	
realista	realistic	adj	B1.1	
realizado	done, realized	adj	B1.1	
rebelión	rebellion	noun	B1.1	
récord	record	noun	B1.1	
recurso	appeal, resource	noun	B1.1	
reducir	to reduce	verb	B1.1	
referencia	reference	noun	B1.1	
referencias	references	noun	B1.1	
régimen	regime	noun	B1.1	
registrar	to register	verb	B1.1	
reportero	reporter	noun	B1.1	
reservado	reserved	adj	B1.1	
residuos	waste	noun	B1.1	
resultar	to result	verb	B1.1	
revelar	to reveal	verb	B1.1	
ruptura	breakage, rupture	noun	B1.1	
salvación	salvation	noun	B1.1	
santidad	holiness	noun	B1.1	
santuario	sanctuary	noun	B1.1	
satisfacción	satisfaction	noun	B1.1	
semestre	semester	noun	B1.1	
seminario	seminar	noun	B1.1	
senado	senate	noun	B1.1	
sermón	sermon	noun	B1.1	
servidor	server	noun	B1.1	
sesenta	sixty	num	B1.1	
setenta	seventy	num	B1.1	
significar	to mean	verb	B1.1	
simpático	nice, friendly	adj	B1.1	
subasta	auction	noun	B1.1	
suéter	sweater	noun	B1.1	
sugerir	to suggest	verb	B1.1	
supermercado	supermarket	noun	B1.1	
tasa	rate	noun	B1.1	
televisor	TV set	noun	B1.1	
