spanish	english	pos	cefr	tags
que	that, which, who	conj	A1.1	comparison|glue
querer	to want, to love	verb	A1.1	society
quince	fifteen	num	A1.1	
quién	who	noun	A1.1	
qué	what	noun	A1.1	
radio	radio	noun	A1.1	media|tech
recibir	to receive	verb	A1.1	tech|work
refresco	soft drink, soda	noun	A1.1	food
regular	okay, regular, average	verb	A1.1	education|society
responder	to answer	verb	A1.1	society
restaurante	restaurant	noun	A1.1	food|work
rico	delicious, rich	adj	A1.1	food
roja	red	noun	A1.1	
rojo	red	adj	A1.1	colors
rosa	pink	adj	A1.1	colors
rápidamente	quickly	adv	A1.1	health|travel
rápido	quickly	adv	A1.1	food
rápido	fast, quick	adj	A1.1	tech|time|travel
sabroso	tasty	adj	A1.1	food
salado	salty	adj	A1.1	food
salir	to leave	verb	A1.1	time|travel
salud	health	noun	A1.1	health
saludar	to greet	verb	A1.1	society
sano	healthy	adj	A1.1	health
segundo	second	noun	A1.1	time
seis	six	num	A1.1	
semana	week	noun	A1.1	time
septiembre	September	noun	A1.1	
ser	to be - essential nature, to be (permanent), being	verb	A1.1	nature|philosophy
ser de	to be from	phrase	A1.1	MWU|countries
sesenta	sixty	num	A1.1	
setenta	seventy	num	A1.1	
si	if	conj	A1.1	glue
siempre	always	adv	A1.1	time
siete	seven	num	A1.1	
silla	chair	noun	A1.1	education|health|home
sin	without	prep	A1.1	glue
sobre	about, on, over	prep	A1.1	glue
soleado	sunny	adj	A1.1	nature
soltero	single	adj	A1.1	society
sopa	soup	noun	A1.1	food
soplar	to blow (wind)	verb	A1.1	nature
su	his, her, your formal, its, your (formal)	det	A1.1	
subir	to get on, to go up, to upload	verb	A1.1	tech|travel
sucio	dirty	adj	A1.1	home
supermercado	supermarket	adv	A1.1	
supermercado	supermarket	noun	A1.1	
suéter	sweater	verb	A1.1	
sábado	Saturday	noun	A1.1	time
sí	yes	pron	A1.1	
también	also	adv	A1.1	
tardar	to take time	verb	A1.1	time
tarde	late, afternoon	adv	A1.1	time
tele	television, TV	noun	A1.1	
televisión	television	noun	A1.1	home|media|tech
teléfono	telephone	noun	A1.1	home|tech
temprano	early	adv	A1.1	health|time
tener	to have	verb	A1.1	
tenis	tennis	noun	A1.1	media|sports
terminar	to end, to finish	verb	A1.1	time|work
tiempo	weather, time	noun	A1.1	nature|philosophy|time
tiempo libre	free time	phrase	A1.1	MWU|media
tienda	store, shop	noun	A1.1	work
todos los días	every day	phrase	A1.1	MWU|media
tomar	to drink, to take	verb	A1.1	food
trabajar	to work	verb	A1.1	education|work
trabajo	work, job, assignment	noun	A1.1	education|work
transporte	transportation	noun	A1.1	travel
trece	thirteen	num	A1.1	
treinta	thirty	num	A1.1	
tren	train	noun	A1.1	travel
tres	three	num	A1.1	
tu	your - informal, your (informal)	pron	A1.1	
té	tea	noun	A1.1	food
tío	uncle, aunt	noun	A1.1	society
tú	you - informal, you (informal)	pron	A1.1	
un	a, an - masculine, an (masculine)	det	A1.1	
una	a, an - feminine, an (feminine)	det	A1.1	
unas	some - feminine	det	A1.1	
universidad	university	noun	A1.1	education|work
uno	one	num	A1.1	
unos	some - masculine	det	A1.1	
usar	to wear, to use	verb	A1.1	tech
usted	you - formal, you (formal)	pron	A1.1	
ustedes	you all - Latin America	pron	A1.1	
vacaciones	vacation	noun	A1.1	travel|work
veinte	twenty	num	A1.1	
vendedor	salesperson	noun	A1.1	education|work
vender	to sell	verb	A1.1	work
venir	to come	verb	A1.1	travel
venir de	to come from	phrase	A1.1	MWU|countries
ventana	window	noun	A1.1	home
ver	to see, to watch	verb	A1.1	media
verde	green	adj	A1.1	colors
verse	to look (appear)	verb	A1.1	colors|reflexive
viaje	trip	noun	A1.1	travel
vieja	old	adj	A1.1	
viejo	old	adj	A1.1	health|tech
viernes	Friday	noun	A1.1	time
vino	wine	noun	A1.1	food
vivir	to live, experience	verb	A1.1	health|home
volar	to fly	verb	A1.1	travel
vosotras	you all - Spain	pron	A1.1	health
vuestra	your - plural Spain	noun	A1.1	health
y	and	conj	A1.1	glue
yo	I	pron	A1.1	
¿cuál?	which?	pron	A1.1	
¿cuándo?	when?	pron	A1.1	
¿cuánto	how much?	pron	A1.1	
¿cuántos	how many?	pron	A1.1	
¿Cómo está usted?	how are you? (formal)	phrase	A1.1	MWU|glue|society
¿Cómo estás?	how are you?	phrase	A1.1	MWU|society
¿cómo?	how?	pron	A1.1	
¿dónde?	where?	adv	A1.1	
¿por qué?	why?	phrase	A1.1	MWU
¿quién?	who?	pron	A1.1	
¿Qué tal?	how's it going?	phrase	A1.1	MWU|society
¿qué?	what?	pron	A1.1	
él	he, him (after preposition)	pron	A1.1	time
a través	through	phrase	A1.2	MWU
abrigo	coat	noun	A1.2	
aceite	oil	noun	A1.2	food
acostarse	to go to bed	verb	A1.2	home|reflexive
además	furthermore, besides, moreover	connector	A1.2	discourse|glue
aeropuerto	airport	noun	A1.2	travel
afeitarse	to shave	verb	A1.2	reflexive
afición	hobby, passion	noun	A1.2	
al lado	next to	phrase	A1.2	MWU
alfombra	rug, carpet	noun	A1.2	
algo	something	pron	A1.2	
alguien	someone	pron	A1.2	
almohada	pillow	noun	A1.2	home
almorzar	to have lunch	verb	A1.2	food
alquiler	rent	verb	A1.2	home
alrededor	around	noun	A1.2	
anteayer	day before yesterday	verb	A1.2	time
aquella	that over there	adv	A1.2	
aquellas	those over there	adv	A1.2	
armario	closet, wardrobe	noun	A1.2	home
arroz	rice	noun	A1.2	food
ascensor	elevator	noun	A1.2	home
así	like this, in this way	noun	A1.2	
así que	so, therefore	connector	A1.2	MWU|comparison|discourse|glue
aunque	although, even though	conj	A1.2	discourse|glue|philosophy
avenida	avenue	noun	A1.2	
avergonzado	embarrassed	adj	A1.2	
azúcar	sugar	verb	A1.2	food
bailar	to dance	verb	A1.2	media
balcón	balcony	noun	A1.2	home
barato	cheap	adj	A1.2	finance|travel
barco	boat	noun	A1.2	travel
bastante	quite, enough	verb	A1.2	
bañera	bathtub	noun	A1.2	
biblioteca	library	noun	A1.2	education
boca	mouth	noun	A1.2	health
bolso	purse, bag	noun	A1.2	
brazo	arm	noun	A1.2	health
bufanda	scarf	noun	A1.2	
buscar	to look for, to search	verb	A1.2	tech
cabello	hair	noun	A1.2	health
cabeza	head	noun	A1.2	health
cada	each	noun	A1.2	
cajón	drawer	noun	A1.2	home
calcetines	socks	noun	A1.2	
camisa	shirt	noun	A1.2	
campo	countryside	noun	A1.2	travel
cansado	tired	adj	A1.2	health
cantar	to sing	verb	A1.2	media
cara	face	noun	A1.2	health
carnicería	butcher shop	noun	A1.2	
caro	expensive	adj	A1.2	finance|travel
cartera	wallet	noun	A1.2	home
casi	almost	adv	A1.2	
cebolla	onion	noun	A1.2	food
cenar	to have dinner	verb	A1.2	food
centro comercial	shopping mall	phrase	A1.2	MWU
cepillarse	to brush	verb	A1.2	home|reflexive
cerradura	lock	noun	A1.2	home
chaqueta	jacket	noun	A1.2	
chocolate	chocolate	adv	A1.2	time
cierto	true, certain	adj	A1.2	
cine	cinema, movie theater	noun	A1.2	media
cocinar	to cook	verb	A1.2	food|home|media
comedor	dining room	noun	A1.2	home|travel
complicado	complicated	adj	A1.2	education|philosophy|tech
común	common	noun	A1.2	
concierto	concert	noun	A1.2	media
conductor	driver	noun	A1.2	travel
conmigo	with me	pron	A1.2	
conocer	to know, be familiar with, to know (people, places), to meet, to get to know	verb	A1.2	society|time|travel
consigo	with oneself, with himself, herself	pron	A1.2	
contento	content, happy	adj	A1.2	
contigo	with you	pron	A1.2	
contra	against	prep	A1.2	glue
correcto	correct	adj	A1.2	
correos	post office	noun	A1.2	work
correr	to run	verb	A1.2	media|sports|travel
cortina	curtain	noun	A1.2	home
costar	to cost	verb	A1.2	
cuadro	painting	noun	A1.2	health
cualquiera	any	noun	A1.2	
cuenta	bill, check	noun	A1.2	food
cuidado	care, careful	noun	A1.2	
debajo	underneath	noun	A1.2	
deber	should, must, duty	verb	A1.2	
decir	to say, tell, to tell	verb	A1.2	
dedo	finger	noun	A1.2	health
delante	in front	noun	A1.2	
desayunar	to have breakfast	verb	A1.2	food
descuento	discount	noun	A1.2	finance
desde	from, since	prep	A1.2	glue|time
despertar	se) (to wake up	verb	A1.2	
detrás	behind	noun	A1.2	
devolver	to return	verb	A1.2	
dibujar	to draw	verb	A1.2	education|media
diferente	different	adj	A1.2	home
dijo	said	noun	A1.2	
dolor	pain	noun	A1.2	health
dormir	to sleep	verb	A1.2	health
dormitorio	bedroom	noun	A1.2	home
ducha	shower	noun	A1.2	media
ducharse	to shower	verb	A1.2	home|media|reflexive
durante	during	prep	A1.2	glue|time
encima	on top, on top of that	noun	A1.2	philosophy
encontrar	to find	verb	A1.2	tech
enfermo	sick	adj	A1.2	health
enfrente	opposite	noun	A1.2	
enojado	angry	adj	A1.2	health
ensalada	salad	noun	A1.2	food
entonces	then	adv	A1.2	nature|time
entre	between, among	prep	A1.2	glue
equipaje	luggage	noun	A1.2	travel
esa	that	det	A1.2	
esas	those	det	A1.2	
escalera	stairs	noun	A1.2	home
espalda	back	noun	A1.2	health
especial	special	noun	A1.2	
espejo	mirror	noun	A1.2	
esquina	corner	noun	A1.2	
esta	this	det	A1.2	
estación	season, station	noun	A1.2	media|nature|travel
estación de autobuses	bus station	phrase	A1.2	MWU|travel
estación de tren	train station	phrase	A1.2	MWU|travel
estantería	bookshelf	noun	A1.2	
estas	these	det	A1.2	
estómago	stomach	noun	A1.2	health
excepto	except	noun	A1.2	
exposición	exhibition	noun	A1.2	media
extraño	strange	noun	A1.2	
falda	skirt	noun	A1.2	
falso	false	adj	A1.2	
farmacia	pharmacy	noun	A1.2	health
feliz	happy	adj	A1.2	health
fiebre	fever	noun	A1.2	health
fotografía	photography	adj	A1.2	
fue	was, went	noun	A1.2	
gafas	glasses	noun	A1.2	
galleta	cookie, biscuit	noun	A1.2	food
garaje	garage	noun	A1.2	home
gastar	to spend	verb	A1.2	
grifo	faucet, tap	noun	A1.2	
guantes	gloves	noun	A1.2	
hacia	toward	prep	A1.2	glue
hasta	until, to	prep	A1.2	glue|time
hay	there is, there are	adv	A1.2	
helado	ice cream	noun	A1.2	food
hizo	did, made	noun	A1.2	
horario	schedule	noun	A1.2	travel|work
horno	oven	noun	A1.2	food|home
huevo	egg	noun	A1.2	food
iglesia	church	noun	A1.2	
igual...que	equal...to	phrase	A1.2	
imposible	impossible	adj	A1.2	
incorrecto	incorrect	adj	A1.2	
interesado	interested	noun	A1.2	finance
invierno	winter	noun	A1.2	
inútil	useless	adj	A1.2	
lavadora	washing machine	noun	A1.2	home
lavarse	to wash oneself	verb	A1.2	reflexive
lavavajillas	dishwasher	noun	A1.2	home
lechuga	lettuce	noun	A1.2	food
librería	bookstore	noun	A1.2	
llave	key	noun	A1.2	home|travel
llaves	keys	noun	A1.2	home
llegada	arrival	noun	A1.2	travel
llevar	to wear, carry, take, to carry	verb	A1.2	health
lluvia	rain	noun	A1.2	nature
lo	him, it - masculine, it (masculine)	pron	A1.2	
luego	later, then	adv	A1.2	nature|time
lámpara	lamp	noun	A1.2	home
mano	hand	noun	A1.2	health
manta	blanket	noun	A1.2	home
maquillarse	to put on makeup	verb	A1.2	reflexive
mayor	older, bigger	adj	A1.2	society
me	me	pron	A1.2	
medicina	medicine	noun	A1.2	health
mejor	better, best	adj	A1.2	
menor	younger, smaller	adj	A1.2	society
menos...que	less...than	phrase	A1.2	comparison
menú	menu	noun	A1.2	food
mercado	market	noun	A1.2	
microondas	microwave	noun	A1.2	food|home
mientras	while	conj	A1.2	glue|time
montaña	mountain	noun	A1.2	nature
motocicleta	motorcycle	noun	A1.2	travel
museo	museum	noun	A1.2	media
más...que	more...than	phrase	A1.2	comparison|glue
nada	nothing	pron	A1.2	
nadar	to swim	verb	A1.2	media
nadie	no one, nobody	pron	A1.2	
nariz	nose	noun	A1.2	health
necesario	necessary	adj	A1.2	
nervioso	nervous	adj	A1.2	health
nieve	snow	adv	A1.2	nature|time
normal	normal	noun	A1.2	
nos	us	pron	A1.2	
nube	cloud	noun	A1.2	nature
número de talla	size number	phrase	A1.2	MWU
ocupado	busy	noun	A1.2	
oferta	offer, sale, supply	noun	A1.2	finance
ojo	eye	noun	A1.2	health
oreja	ear	noun	A1.2	health
orgulloso	proud	adj	A1.2	
os	you all - Spain object	pron	A1.2	health
otoño	autumn, fall	noun	A1.2	
oír	to hear	verb	A1.2	health|media
panadería	bakery	noun	A1.2	
pantalones	pants, trousers	noun	A1.2	tech
papa	potato	noun	A1.2	food
paraguas	umbrella	noun	A1.2	
parecido	similar	adj	A1.2	
pared	wall	noun	A1.2	home
