spanish	english	pos	cefr	tags
equivocar	to be wrong	verb	B2.2	
seguido	en seguida: immediate / in a row, successive, often		A2.1	
llorar	to cry	verb	A2.1	
rato	moment, while, time		A1.2	
ciego	blind		A2.1	
paisaje	landscape	noun	B1.1	
quemar	to burn	verb	A2.2	
quejar	to complain	verb	B2.1	
cifra	figure, number, amount	noun	B1.2	
ocultar	to hide	verb	A2.2	
decepcionar	to disappoint	verb	B2.1	
enterar	to find out	verb	B1.1	
ámbito	sphere, space	noun	B2.1	
recurrir	to resort to	verb	B1.2	
digno	worthy		A2.2	
huir	to flee, run away	verb	A2.1	
transcurrir	to occur, take place	verb	B2.2	
desgracia	misfortune, bad luck		A2.1	
pisar	to step on	verb	B1.2	
cola	line, queue, tail		A2.1	
elaborar	to make, develop	verb	B2.2	
soñar	to dream	verb	A2.2	
gritar	to shout	verb	A2.1	
sumar	to add up, amount to	verb	B2.2	
lujo	luxury		A2.2	
carecer	to be without	verb	B2.2	
arena	sand		A2.1	
fila	line, row, file		A2.1	
patrón	employer, landlord, patron saint		A2.2	
pecho	chest, breast		A2.1	
constar	to consist of, comprise	verb	B2.2	
caída	fall, drop, falling		A2.2	
fallar	to fail, miss	verb	B1.1	
estrecho	narrow		B1.2	
agregar	to add, gather	verb	B1.1	
hierro	iron		A2.2	
ancho	wide		B1.1	
agradable	nice, pleasant		A1.2	
aportar	to provide, contribute	verb	B2.1	
proporcionar	to supply	verb	B2.1	
ubicar	to find, locate	verb	B2.1	
redondo	round		B2.1	
seno	breast, bosom, core		B1.2	
ingresar	to join, deposit, admit	verb	B1.2	
esconder	to hide, conceal	verb	A2.2	
campesino	1. (n) peasant 2. (adj.) rural		B1.2	
desprender	to detach, release, remove	verb	B2.2	
pelear	to fight, struggle	verb	A2.1	
arrojar	to throw, fling	verb	B1.2	
hundir	to sink, submerge	verb	B1.2	
aguja	needle, spire, stylus		A2.2	
hilo	thread, yarn, wire		A2.2	
encerrar	to shut (in)	verb	B1.2	
novedad	latest news, newness	noun	B1.1	
castigo	punishment, penalty		A2.1	
denominar	to call, name	verb	B2.2	
empujar	to push, shove	verb	B1.1	
chocar	to crash into, collide with	verb	B1.2	
caballero	gentleman, knight		A2.1	
amante	lover		A2.1	
aguantar	to endure, put up with	verb	A2.2	
coger	to hold, take, catch / to have sex (vulg)	verb	A2.1	
clave	key	noun	A2.1	
fiel	faithful, loyal		A2.2	
cinta	tape, ribbon, film, strip		A2.1	
despedir	to say goodbye (to) / to fire from a job	verb	B1.1	
muro	(outer) wall, rampart		A2.2	
provenir	to come from, be from	verb	B2.2	
criar	to bring up, to raise	verb	B1.1	
polvo	dust, powder		A2.1	
sacerdote	priest		A2.2	
doblar	to bend, turn	verb	B1.2	
disminuir	to decrease, diminish	verb	B2.1	
averiguar	to investigate, find out	verb	A2.1	
pasear	to go for a walk, ride	verb	A2.2	
olor	smell, odor, fragrance		A2.1	
cárcel	jail, prison		A1.2	
salvaje	wild, savage, uncultivated	noun	A2.1	
jornada	(working) day, shift	noun	B1.2	
desnudo	nude, naked		A2.2	
palo	stick, pole		A2.2	
bandera	flag		A2.2	
rostro	face, countenance		A2.1	
escoger	to choose	verb	A2.2	
pata	leg, paw		A2.2	
aproximar	to come near, closer	verb	B2.2	
agarrar	to grasp, catch	verb	A2.2	
varón	male, man		B1.1	
orilla	shore, edge		B1.1	
desempeñar	to carry out, fulfill	verb	B2.2	
ejemplar	copy, issue	verb	B1.2	
prever	to foresee, anticipate, forecast	verb	B2.2	
rincón	corner, nook		B1.1	
bolsillo	pocket		A2.1	
sabor	taste, flavor, sensation		A2.2	
esclavo	slave		A2.2	
tapar	to cover, wrap	verb	B2.1	
amo	owner, master, boss (m)		A1.2	
acceder	to consent, agree / to access	verb	B1.1	
patria	native land, fatherland		A2.2	
disparar	to shoot (at)	verb	A2.1	
afán	eagerness, zeal, effort		B2.2	
atar	to tie (up)	verb	B1.2	
dama	lady, dame		A2.1	
abarcar	to encompass, to cover / to comprise	verb	B2.2	
brindar	to offer / to toast (drink)	verb	B1.2	
milagro	miracle		A2.1	
de repente	suddenly		B2.2	
casualidad	chance, coincidence	noun	A2.1	
risa	laugh, chuckle		A2.2	
ave	bird		A2.2	
rodilla	knee		A2.2	
otorgar	to give, grant, award	verb	B2.2	
cariño	love, affection		A1.1	
vigilar	to watch over, guard	verb	A2.2	
portar	to behave / to carry	verb	B2.2	
ala	wing, flank		A2.2	
grueso	thick		B1.2	
avisar	to inform, announce, warn	verb	A2.2	
soltar	to release, loosen, let out	verb	B1.1	
matiz	shade, tint, nuance		B2.2	
moreno	dark, brown		B1.2	
hielo	ice		A2.1	
afirmación	statement, assertion	noun	B2.1	
conquistar	to conquer / to win someone's heart	verb	B1.1	
envolver	to wrap	verb	B2.1	
estancia	stay, stance, ranch		B1.1	
emprender	to undertake, embark on	verb	B2.2	
quebrar	to break, bend, weaken	verb	B2.1	
asomar	to appear, show, stick (out)	verb	B2.2	
lágrima	tear, teardrop		B1.2	
homenaje	homage, tribute	noun	B1.2	
estallar	to break out, explode, start	verb	B1.1	
apretar	to squeeze, tighten, compress	verb	B1.1	
ola	wave		A2.2	
doña	courtesy title (f), Mrs.		A2.2	
oriente	East		B1.1	
rumbo	direction, course, bearing		A2.2	
contratar	to hire, contract	verb	A2.2	
ganado	livestock, cattle		A1.2	
partidario	supporter, partisan		B2.2	
locura	madness, insanity		A1.2	
prender	to turn on, apprehend	verb	B2.1	
almacén	warehouse, store		A2.2	
broma	joke		A1.2	
mancha	stain, spot		A2.2	
retrato	portrait, photograph		A2.2	
lata	(tin) can / bother, annoyance		A2.2	
misa	(religious) mass		B1.1	
alzar	to lift, raise	verb	B2.2	
eje	axis, shaft, crux		B1.2	
efectuar	to carry out, cause to happen	verb	B2.2	
proseguir	to continue, carry on	verb	B2.2	
ferrocarril	railway		B1.1	
nave	spacecraft, ship		A1.2	
trampa	trick, trap / hacer trampa: to cheat		A1.2	
hondo	deep		B1.1	
librar	to liberate, set free	verb	B1.2	
rescatar	to rescue, save	verb	B1.1	
suceso	event, incident		B1.2	
extrañar	to miss, long for	verb	B1.1	
asustar	to frighten, scare	verb	B1.1	
remontar	to overcome	verb	B2.2	
jurar	to swear, take an oath	verb	B1.2	
convocar	to convene, summon	verb	B2.2	
harto	fed up with, tired		A2.2	
lazo	bow, knot, tie, lasso		B1.1	
entorno	environment, surroundings		B1.1	
nieto	grandchild		A2.2	
imprescindible	essential, indispensable		B2.2	
gota	drop		A2.2	
pozo	well, shaft		A2.2	
presa	dam, prisoner (f)		A2.2	
juguete	toy		A2.2	
chiste	joke, funny story		A2.2	
respaldo	support, backing, back		B1.1	
incendio	fire, conflagration		A2.1	
dorado	golden, gold-plated		B1.1	
enseguida	immediately, at once		A1.2	
acoger	to welcome, accept	verb	B2.2	
sembrar	to sow, plant	verb	B2.1	
barra	bar, rod, rail		A2.2	
retroceder	to go back	verb	B1.1	
relatar	to tell, narrate	verb	B2.2	
bota	boot, wineskin		B1.2	
lucir	to show (off), shine	verb	B1.2	
sonrisa	smile		A2.1	
bárbaro	savage, horrible		B1.2	
labio	lip		B1.2	
porvenir	future, time to come	verb	B2.1	
ahorrar	to save (money, time)	verb	B1.1	
perjudicar	to damage, to harm	verb	B2.2	
cosecha	harvest, crop		B1.1	
enterrar	to bury, to conceal	verb	B1.1	
blando	soft, limp, gentle		B1.2	
humo	smoke		A2.1	
cuartel	quarters, barracks		A2.2	
recto	right, straight, honest		B1.1	
ahogar	to drown, choke, flood	verb	B2.1	
restar	to subtract, minimize	verb	B2.2	
denuncia	accusation		B1.1	
rezar	to pray, recite	verb	A2.2	
cuero	leather, skin		A2.2	
pedazo	piece, bit		A2.1	
privar	to deprive (of)	verb	B2.2	
abrazar	to hug, embrace	verb	B1.2	
sujetar	to fasten, attach, hold	verb	B2.1	
hueco	hole, cavity		B1.1	
capricho	caprice, whim		B1.2	
rabia	rage		A2.2	
barro	clay, mud		B1.1	
fuga	flight, escape		A2.2	
robo	theft, robbery		A2.1	
celo	jealousy, zeal		B2.1	
índole	nature, temperament		B2.2	
frenar	to brake, restrain	verb	B1.2	
adivinar	to guess, solve	verb	A2.2	
mosca	fly (insect)		B1.1	
tragar	to swallow	verb	B1.2	
sobrar	to be too much, left over	verb	B2.2	
brotar	to sprout	verb	B2.2	
inquieto	restless, anxious		B1.2	
miel	honey		A2.1	
campana	bell		A2.2	
suscitar	to arouse, provoke	verb	B2.2	
espada	sword		A2.1	
resumir	to summarize	verb	B2.2	
porquería	filth, junk		A2.2	
burlar	to mock	verb	B2.2	
encajar	to insert, fit well	verb	B1.2	
amanecer	(n) daybreak, dawn / (v) to dawn, get light	verb	A2.2	
ladrillo	brick		B1.2	
desembocar	to flow, lead into	verb	B2.2	
infierno	hell, inferno		A1.2	
acero	steel		A2.2	
ojalá	I hope that		A1.2	
preso	prison, prisoner		A2.2	
tontería	nonsense, stupidity, stupid thing		A2.1	
acostar	to put/go to bed	verb	B1.2	
sed	thirst		A2.2	
muñeca	doll, wrist		A2.1	
enamorar	to fall in love	verb	B2.1	
raya	line, ray, stripe		A2.2	
prisa	hurry		A1.2	
beso	kiss		A1.2	
despacio	slow, slowly		A2.1	
pesadilla	nightmare		A2.1	
auxilio	help, aid, assistance		A2.2	
liso	smooth, flat, straight		B2.2	
charlar	to chat, talk	verb	B1.1	
mudar	to move, change	verb	B1.1	
pésimo	dreadful, awful		B1.1	
estrenar	to use for the first time, debut	verb	B2.2	
embarazada	pregnant		A1.2	
planchar	to iron, flatten	verb	B2.2	
bruja	witch, hag		A2.1	
espantar	to frighten	verb	B2.2	
estropear	to ruin, mess up	verb	B1.2	
duchar	to shower	verb	B2.2	
esfumar	to disappear / to blur	verb	B2.2	
