Word	Definition
contar	to tell, count / (contar con) to count on
tipo	type, kind / guy, dude
medio	means, middle / por medio de: by means of
modo	way, manner
mil	thousand
sacar	to take out
acabar	to finish / acabar de (+VERB): to have just done
siglo	century, age
siguiente	following, next
demás	the rest, others
valer	to be worth, cost
fijar	to set, fix / to notice
muerte	death
abierto	open, unlocked
echar	to throw out / echar a (+VERB): to start
atrás	back, behind, ago
ambos	both
señalar	to point (out), signal
reunir	to gather, meet, collect
supuesto	supposed / por supuesto: of course
adelante	forward, further
asunto	matter, issue, affair
mandar	to send, order
andar	to walk / to go around / andar (+VERB): to do
surgir	to appear, spring forth
matar	to kill
colocar	to place, position
aumentar	to increase
pertenecer	to belong
disponer	to have means / to dispose
sitio	place, space
actual	current
pleno	complete, full
ambiente	environment, atmosphere
dispuesto	willing, ready
caber	to fit (into)
tender	lay out / to hang / to set
voluntad	will, willpower, intention
cargar	to load (up), carry, charge
puesto	job, place, position
prestar	to lend
jamás	never
cargo	position, charge, fee
terreno	ground, earth, terrain
recorrer	to travel, cover (distance)
retirar	to take away, retire
permanecer	to stay, remain
arma	weapon
encuentro	meeting, game, skirmish
enfrentar	to confront, face
etapa	stage, period
atravesar	to cross
destacar	to emphasize, stand out
convenir	to be agreeable / be convenient
alumno	student, pupil
madera	wood
parar	to stop (moving)
ejercer	to practice, exercise
poseer	to possess, own
cobrar	to charge (money)
semejante	similar, such, alike
acudir	to attend, go to, frequent
encargar	to entrust / to take charge of
fijo	fixed, steady
sur	south
venta	sale
alcance	reach, scope
dueño	owner, landlord (m)
perseguir	to persecute, pursue, chase
escaso	scarce, very little
someter	to subject / to undergo
acontecimiento	event, happening
arrastrar	to drag, pull
alimento	food, nourishment
barrio	neighborhood, district
temor	fear
rama	branch, bough, limb
repartir	to divide, deliver, distribute
partida	game, match, departure
rodear	to surround
ajeno	belonging to someone else / detached
gana	desire
consejo	advice, counsel, tip
marchar	to go, leave, march
ejército	army
trasladar	to move, transfer
ventaja	advantage, benefit
figurar	to appear, represent, figure (in)
cadena	chain
ánimo	zest, spirit, heart / (tener ánimo): to be in the mood
arrancar	to start (machine) / to rip away / to have an outburst
molestar	to bother, disturb, upset
atrever	to dare
plata	silver, money
ceder	to give way, yield
pendiente	(adj) pending / (n) suitor
conceder	to grant, concede
arreglar	to fix, arrange
rueda	wheel
rasgo	feature, trait
apuntar	to point, note, aim
liberar	to free, liberate
añadir	to add
girar	to rotate, revolve
remedio	alternative, cure, solution
encantar	to love (literal: to enchant)2) to charm
cotidiano	daily
nuevamente	anew, again
listo	ready, clever, smart
equivocar	to be wrong
seguido	en seguida: immediate / in a row, successive, often
llorar	to cry
rato	moment, while, time
ciego	blind
paisaje	landscape
quemar	to burn
quejar	to complain
cifra	figure, number, amount
ocultar	to hide
decepcionar	to disappoint
enterar	to find out
ámbito	sphere, space
recurrir	to resort to
digno	worthy
huir	to flee, run away
transcurrir	to occur, take place
desgracia	misfortune, bad luck
pisar	to step on
cola	line, queue, tail
elaborar	to make, develop
soñar	to dream
gritar	to shout
sumar	to add up, amount to
lujo	luxury
carecer	to be without
arena	sand
fila	line, row, file
patrón	employer, landlord, patron saint
pecho	chest, breast
constar	to consist of, comprise
caída	fall, drop, falling
fallar	to fail, miss
estrecho	narrow
agregar	to add, gather
hierro	iron
ancho	wide
agradable	nice, pleasant
aportar	to provide, contribute
proporcionar	to supply
ubicar	to find, locate
redondo	round
seno	breast, bosom, core
ingresar	to join, deposit, admit
esconder	to hide, conceal
campesino	1. (n) peasant 2. (adj.) rural
desprender	to detach, release, remove
pelear	to fight, struggle
arrojar	to throw, fling
hundir	to sink, submerge
aguja	needle, spire, stylus
hilo	thread, yarn, wire
encerrar	to shut (in)
novedad	latest news, newness
castigo	punishment, penalty
denominar	to call, name
empujar	to push, shove
chocar	to crash into, collide with
caballero	gentleman, knight
amante	lover
aguantar	to endure, put up with
coger	to hold, take, catch / to have sex (vulg)
clave	key
fiel	faithful, loyal
cinta	tape, ribbon, film, strip
despedir	to say goodbye (to) / to fire from a job
muro	(outer) wall, rampart
provenir	to come from, be from
criar	to bring up, to raise
polvo	dust, powder
sacerdote	priest
doblar	to bend, turn
disminuir	to decrease, diminish
averiguar	to investigate, find out
pasear	to go for a walk, ride
olor	smell, odor, fragrance
cárcel	jail, prison
salvaje	wild, savage, uncultivated
jornada	(working) day, shift
desnudo	nude, naked
palo	stick, pole
bandera	flag
rostro	face, countenance
escoger	to choose
pata	leg, paw
aproximar	to come near, closer
agarrar	to grasp, catch
varón	male, man
orilla	shore, edge
desempeñar	to carry out, fulfill
ejemplar	copy, issue
prever	to foresee, anticipate, forecast
rincón	corner, nook
bolsillo	pocket
sabor	taste, flavor, sensation
esclavo	slave
tapar	to cover, wrap
amo	owner, master, boss (m)
acceder	to consent, agree / to access
patria	native land, fatherland
disparar	to shoot (at)
afán	eagerness, zeal, effort
atar	to tie (up)
dama	lady, dame
abarcar	to encompass, to cover / to comprise
brindar	to offer / to toast (drink)
milagro	miracle
de repente	suddenly
casualidad	chance, coincidence
risa	laugh, chuckle
ave	bird
rodilla	knee
otorgar	to give, grant, award
cariño	love, affection
vigilar	to watch over, guard
portar	to behave / to carry
ala	wing, flank
grueso	thick
avisar	to inform, announce, warn
soltar	to release, loosen, let out
matiz	shade, tint, nuance
moreno	dark, brown
hielo	ice
afirmación	statement, assertion
conquistar	to conquer / to win someone's heart
envolver	to wrap
estancia	stay, stance, ranch
emprender	to undertake, embark on
quebrar	to break, bend, weaken
asomar	to appear, show, stick (out)
lágrima	tear, teardrop
homenaje	homage, tribute
estallar	to break out, explode, start
apretar	to squeeze, tighten, compress
ola	wave
doña	courtesy title (f), Mrs.
oriente	East
rumbo	direction, course, bearing
contratar	to hire, contract
ganado	livestock, cattle
partidario	supporter, partisan
locura	madness, insanity
prender	to turn on, apprehend
almacén	warehouse, store
broma	joke
mancha	stain, spot
retrato	portrait, photograph
lata	(tin) can / bother, annoyance
misa	(religious) mass
alzar	to lift, raise
eje	axis, shaft, crux
efectuar	to carry out, cause to happen
proseguir	to continue, carry on
ferrocarril	railway
nave	spacecraft, ship
trampa	trick, trap / hacer trampa: to cheat
hondo	deep
librar	to liberate, set free
rescatar	to rescue, save
suceso	event, incident
extrañar	to miss, long for
asustar	to frighten, scare
remontar	to overcome
jurar	to swear, take an oath
convocar	to convene, summon
harto	fed up with, tired
lazo	bow, knot, tie, lasso
entorno	environment, surroundings
nieto	grandchild
imprescindible	essential, indispensable
gota	drop
pozo	well, shaft
presa	dam, prisoner (f)
juguete	toy
chiste	joke, funny story
respaldo	support, backing, back
incendio	fire, conflagration
dorado	golden, gold-plated
enseguida	immediately, at once
acoger	to welcome, accept
sembrar	to sow, plant
barra	bar, rod, rail
retroceder	to go back
relatar	to tell, narrate
bota	boot, wineskin
lucir	to show (off), shine
sonrisa	smile
bárbaro	savage, horrible
labio	lip
porvenir	future, time to come
ahorrar	to save (money, time)
perjudicar	to damage, to harm
cosecha	harvest, crop
enterrar	to bury, to conceal
blando	soft, limp, gentle
humo	smoke
cuartel	quarters, barracks
recto	right, straight, honest
ahogar	to drown, choke, flood
restar	to subtract, minimize
denuncia	accusation
rezar	to pray, recite
cuero	leather, skin
pedazo	piece, bit
privar	to deprive (of)
abrazar	to hug, embrace
sujetar	to fasten, attach, hold
hueco	hole, cavity
capricho	caprice, whim
rabia	rage
barro	clay, mud
fuga	flight, escape
robo	theft, robbery
celo	jealousy, zeal
índole	nature, temperament
frenar	to brake, restrain
adivinar	to guess, solve
mosca	fly (insect)
tragar	to swallow
sobrar	to be too much, left over
brotar	to sprout
inquieto	restless, anxious
miel	honey
campana	bell
suscitar	to arouse, provoke
espada	sword
resumir	to summarize
porquería	filth, junk
burlar	to mock
encajar	to insert, fit well
amanecer	(n) daybreak, dawn / (v) to dawn, get light
ladrillo	brick
desembocar	to flow, lead into
infierno	hell, inferno
acero	steel
ojalá	I hope that
preso	prison, prisoner
tontería	nonsense, stupidity, stupid thing
acostar	to put/go to bed
sed	thirst
muñeca	doll, wrist
enamorar	to fall in love
raya	line, ray, stripe
prisa	hurry
beso	kiss
despacio	slow, slowly
pesadilla	nightmare
auxilio	help, aid, assistance
liso	smooth, flat, straight
charlar	to chat, talk
mudar	to move, change
pésimo	dreadful, awful
estrenar	to use for the first time, debut
embarazada	pregnant
planchar	to iron, flatten
bruja	witch, hag
espantar	to frighten
estropear	to ruin, mess up
duchar	to shower
esfumar	to disappear / to blur
